"%s Item(s)","%s Item(s)"
"%s Item(s)","%s Item(s)"
"Fondation dentreprise Ricard pour lart contemporain", "Ricard Foundation for Contemporary Art"
"Musée de la Poste", "Postal Museum"
"Musée dart moderne (Ville de Paris)", "Museum of modern art of Paris"
"Cité de larchitecture et du patrimoine", "Cite de l'architecture et du patrimoine"
"Maison de la culture du Japon à Paris", "Japanese Culture House of Paris"
"Musée de lArmée", "Army Museum"
"Musée Maillol", "Maillol Museum"
"Musée de l'Homme", "Museum de l'Homme"
"Musée de la Marine", "Marine Museum"
"Réplique de la Statue de la Liberté", "Statue of Liberty Replica"
"Esplanade des Invalides", "Esplanade des Invalides"
"Parc du Champ-de-Mars", "Champ de Mars Gardens"
"Jardins du Trocadéro", "Jardins du Trocadero"
"Pont des Invalides", "Pont des Invalides"
"Pont de lAlma", "Pont de l'Alma"
"Halle Saint-Pierre", "Halle Saint Pierre"
"Espace Dali", "Espace Dali"
"Le Moulin de la Galette", "Le Moulin de la Galette"
"Musée de la vie romantique", "Musée de la vie romantique"
"Cimetière de Montmartre", "Cimetery of Montmartre"
"Musée de Montmartre", "Montmartre Museum"
"Barbès", "Barbes"
"Eglise de la Sainte-Trinité", "Eglise de la Sainte Trinite"
"Eglise et place de la Madeleine", "Madeleine place and church"
"Palais de la Bourse", "Palais de la Bourse"
"Eglise et place de la Madeleine", "Eglise et place de la Madeleine"
"Eglise Saint-Eustache", "Eglise Saint-Eustache"
"Place et basilique Notre Dame des Victoires", "Place and Basilica Notre Dame des Victoires"
"Galerie Vivienne", "Galerie Vivienne"
"Colonne et place Vendôme", "Place Vendome"
"Musée Cernuschi", "Cernuschi Museum"
"Musée Nissim de Camondo", "Nissim de Camondo Museum"
"Grande halle de la Villette", "Grande halle de la Villette"
"Couvent des Recollets", "Couvent des Recollets"
"Parc des Buttes-Chaumont", "Buttes Chaumont Park"
"Parc des Buttes-Chaumont", "Buttes Chaumont Park"
"CENTQUATRE", "CENTQUATRE"
"Maison des métallos", "Maison des metallos"
"Le Plateau", "Le Plateau"
"Parc de la Villette", "Villette Park"
"Parc de Belleville", "Belleville Park"
"Jardins dEole", "Eole Gardens"
"La coulée verte (Promenade Plantée)", "La coulee verte (Promenade Plantee)"
"Viaduc des Arts", "Viaduc des Arts"
"Fondation Antoine de Galbert Maison Rouge", "La Maison Rouge, Antoine de Galbert Foundation"
"Marché dAligre", "Aligre Market"
"Marché Bastille", "Bastille Market"
"Manufacture des Gobelins", "Gobelins Manufactory"
"Cinémathèque française", "French Cinematheque"
"Quartier asiatique de Paris", "Asian District of Paris"
"Passerelle Simone de Beauvoir", "Passerelle Simone de Beauvoir"
"Parc de Bercy", "Bercy Park"
"Parc Georges Brassens", "Georges Brassens Park"
"Parc André Citroën", "Andre Citroen Park"
"Jardin dacclimatation", "Jardin d'acclimatation"
"Bois de Boulogne", "Bois de Boulogne"
"Musée Marmottan-Claude Monet", "Marmottan-Monet Museum"
"Jardin du Ranelagh", "Jardin du Ranelagh"
"Maison de la radio", "Maison de la radio"
"Fondation le Corbusier", "Fondation le Corbusier"
"Place Denfert-Rochereau", "Place Denfert Rochereau"
"Quartier des Thermopyles", "Quartier des Thermopyles"
"Parc Montsouris", "Montsouris Park"
"Cité Internationale Universitaire de Paris", "Cite Internationale Universitaire de Paris"
"Map","Map"
"View hotel","View hotel"
"To see", "Sights"
"Going out", "Entertainment"
"By night", "By night"
"Hotel contacts","Hotel contacts"
"Your about to contact","Your about to contact"
"If you need further information","If you need further information on any of our hotels, please email the hotel staff. Select the contact information of the hotel concerned in the drop-down list, and fill the contact form. For any request or suggestion about Hotels Grand Paris, you can send us a message by choosing the empty field in the drop-down list. We will answer you as soon as possible."
"Hotels Opera, Madeleine, St Lazare","Hotels Opera, Madeleine, St Lazare"
"Paris Hotels Opera","Paris Hotels Opera"
